isbn|name|author
9781492032649|Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow|Aurélien Géron
9781789955750|Python Machine Learning|Sebastian Raschka, Vahid Mirjalili
9780262035613|Deep Learning|Ian Goodfellow, Yoshua Bengio, Aaron Courville
9780596529321|Programming Collective Intelligence|Toby Segaran
9781491957660|Python for Data Analysis|Wes McKinney
9781449361327|Data Science for Business|Foster Provost, Tom Fawcett
9781449369415|Introduction to Machine Learning with Python|Andreas C. Müller, Sarah Guido
9780999247108|Machine Learning Yearning|Andrew Ng
9781617294631|Natural Language Processing in Action|Lane, Howard, and Hapke
9781492041139|Data Science from Scratch|Joel Grus